Club name,Abbreviation,Arena Name,Arena Location,Seating Capacity,opening year,Latitude,Longitude,Year,Metro GDP in $Millon,Metro Population in thousands
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2014,288657,5894
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2015,308287,5970
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2016,322563,6055
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2017,340554,6116
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2018,360230,6141
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2019,376603,6165
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2020,365051,6126
Miami Heat,MIA,American Airlines Arena,"Miami, Florida","19,600",1999,25.7801954,-80.1893027,2021,385859,6092
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2014,87567,1575
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2015,88533,1577
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2016,88972,1577
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2017,89167,1575
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2018,91246,1576
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2019,92618,1577
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2020,87950,1574
Milwaukee Bucks,MIL,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018,42.93692,-87.954301,2021,92963,1566
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2014,232315,3477
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2015,241312,3505
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2016,247968,3540
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2017,256333,3578
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2018,271255,3612
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2019,278264,3640
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2020,270282,3692
Minnesota Timberwolves,MIN,Target Center,"Minneapolis, Minnesota","18,978",1990,44.979625,-93.274857,2021,285688,3691
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2014,71320,1250
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2015,71547,1261
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2016,71145,1269
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2017,79157,1271
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2018,82669,1272
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2019,83272,1274
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2020,76382,1270
New Orleans Pelicans,NO,Smoothie King Center,"New Orleans, Louisiana","16,867",1999,29.9494105,-90.0808118,2021,80736,1262
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2014,1507783,19282
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2015,1570333,19322
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2016,1638129,19336
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2017,1690245,19325
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2018,1790858,19289
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2019,1872166,19232
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2020,1809323,20096
New York Knicks,NY,Madison Square Garden,"New York City, New York","19,812",1968,40.7505129,-73.9935159,2021,1912455,19768
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2014,76575,1337
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2015,73307,1358
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2016,72301,1373
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2017,76615,1382
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2018,81863,1394
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2019,81388,1410
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2020,74398,1429
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002,35.4633961,-97.5150815,2021,78639,1442
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2014,110831,2325
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2015,119537,2390
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2016,126185,2457
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2017,133601,2520
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2018,141110,2576
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2019,150158,2608
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2020,144096,2678
Orlando Magic,ORL,Amway Center,"Orlando, Florida","18,846",2010,28.540249,-81.3821054,2021,152310,2692
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2014,394728,6050
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2015,407824,6060
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2016,414884,6070
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2017,418696,6082
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2018,435424,6097
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2019,450742,6105
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2020,439055,6242
Philadelphia 76ers,PHI,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996,39.905378,-75.173454,2021,464081,6229
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2014,209291,4490
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2015,219957,4580
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2016,230743,4675
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2017,243103,4761
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2018,259286,4852
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2019,276914,4954
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2020,281005,4868
Phoenix Suns,PHX,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992,33.446675,-112.071153,2021,297022,4946
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2014,127933,2345
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2015,137568,2383
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2016,145121,2429
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2017,153173,2457
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2018,164120,2475
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2019,170986,2492
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2020,168380,2516
Portland Trail Blazers,POR,Moda Center,"Portland, Oregon","19,441",1995,45.53221,-122.667893,2021,177978,2512
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2014,113461,2236
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2015,120658,2263
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2016,124495,2292
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2017,130120,2321
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2018,138347,2343
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2019,146370,2364
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2020,145412,2399
Sacramento Kings,SAC,Golden 1 Center,"Sacramento, California","17,583",2016,38.582082,-121.500092,2021,153700,2411
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2014,105787,2329
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2015,112174,2379
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2016,115263,2426
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2017,117866,2472
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2018,126384,2513
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2019,132237,2550
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2020,132116,2567
San Antonio Spurs,SAC,AT&T Center,"San Antonio, Texas","18,418",2002,29.42503,-98.434899,2021,139647,2602
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2014,317410,5797
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2015,291375,5867
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2016,292374,5938
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2017,311658,6010
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2018,324366,6082
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2019,332549,6139
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2020,328359,6197
Toronto Raptors,TOR,Scotiabank Arena,"Toronto, Ontario","19,800",1999,43.643446,-79.379004,2021,361994,6255
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2014,74941,1152
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2015,79284,1165
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2016,84554,1185
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2017,88992,1205
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2018,96992,1219
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2019,103150,1231
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2020,103913,1260
Utah Jazz,UTAH,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991,40.76943,-111.8826986,2021,109836,1263
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2014,469123,6036
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2015,488987,6099
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2016,508569,6155
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2017,525176,6218
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2018,547123,6256
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2019,566892,6297
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2020,561028,6386
Washington Wizards,WSH,Capital One Arena,"D.C., Washington","20,356",1997,38.8980801,-77.0209389,2021,593007,6356
